2,-0.35,-0.02,0.01,0.03777778,-0.06333333,-0.02888889,-31.0,-5.5,-27.375,47.75,-1.4375,358.8125,1.53799,0,1.144963
41,0.9700001,1.45,-1.35,0.6733334,-0.3911111,-0.01444444,-30.0625,-5.75,-28.0,47.875,-2.0,358.625,1.536473,0,0.730599
52,-1.03,-0.67,1.12,-0.2788889,0.2455555,0.02444444,-30.0625,-5.75,-28.0,47.75,-1.8125,358.6875,1.536473,0,0.8333455
63,0.0,0.42,-0.12,0.06111111,-0.2077778,0.02111111,-30.0625,-5.75,-28.0,47.875,-1.875,358.6875,1.536473,0,0.8333455
74,0.05,-0.04,-0.43,-0.06888889,-0.2422222,0.01111111,-28.875,-5.375,-28.75,48.0,-1.8125,358.6875,1.53799,0,0.8333455
91,0.09,-0.11,-0.69,-0.04888889,-0.05222222,0.005555556,-28.875,-5.375,-28.75,47.9375,-1.75,358.6875,1.53799,0,0.8333455
102,-0.34,0.02,0.41,-0.008888889,0.1644444,-0.01222222,-28.875,-5.375,-28.75,47.875,-1.8125,358.6875,1.53799,0,0.8333455
113,-0.28,0.02,0.25,0.01,0.01555556,0.01222222,-28.875,-5.375,-28.75,47.875,-1.75,358.6875,1.53799,0,0.8333455
124,-0.2,0.0,-0.09,-0.02777778,-0.06111111,0.01333333,-28.5,-5.0625,-28.0625,47.875,-1.75,358.6875,1.53799,0,0.8333455
141,-0.14,-0.06,-0.31,-0.03666667,-0.005555556,0.003333333,-28.5,-5.0625,-28.0625,47.875,-1.6875,358.75,1.534957,0,0.8333455
153,-0.3,-0.05,0.04,-0.02888889,0.01444444,0.003333333,-28.5,-5.0625,-28.0625,47.875,-1.6875,358.75,1.531929,0,1.144963
164,-0.12,0.06,-0.07,-0.03222222,-0.01444444,-0.003333333,-28.5,-5.0625,-28.0625,47.875,-1.6875,358.75,1.531929,0,0.8333455
175,-0.15,-0.04,-0.1,-0.08666667,0.01777778,-0.005555556,-28.25,-6.0,-28.25,47.875,-1.625,358.75,1.528909,0,0.4257406
192,-0.2,-0.16,-0.05,-0.1055556,0.03,0.0,-28.25,-6.0,-28.25,47.8125,-1.5625,358.8125,1.52439,0,0.8333455
203,-0.13,0.13,-0.11,-0.1,0.03111111,-0.01111111,-28.25,-6.0,-28.25,47.8125,-1.5,358.8125,1.519886,0,0.8333455
214,-1.0,-0.47,0.16,-0.09666666,0.01555556,-0.01,-28.25,-6.0,-28.25,47.8125,-1.4375,358.875,1.516892,0,0.8333455
225,-0.08,0.13,0.15,-0.02888889,-0.1088889,-0.02888889,-28.1875,-5.25,-27.75,47.875,-1.4375,358.875,1.513904,0,0.8333455
236,0.32,0.19,-0.03,-0.01333333,-0.1477778,-0.005555556,-28.1875,-5.25,-27.75,47.9375,-1.4375,358.875,1.512412,0,1.144963
252,0.05,-0.01,-0.53,-0.05888889,0.1033333,-0.01444444,-28.1875,-5.25,-27.75,47.9375,-1.375,358.9375,1.502016,0,1.355627
263,-0.33,-0.09,0.2,0.006666667,0.1133333,-0.01888889,-28.1875,-5.25,-27.75,47.875,-1.375,358.9375,1.493167,0,1.144963
274,-0.28,0.09,0.22,0.06111111,0.008888889,-0.003333333,-28.5,-5.25,-27.6875,47.875,-1.4375,358.9375,1.49023,0,1.250004
285,-0.2,0.12,0.0,0.01333333,-0.05555556,0.003333333,-28.5,-5.25,-27.6875,47.875,-1.4375,358.9375,1.49023,0,1.355627
302,-0.11,-0.07,-0.36,-0.02444444,-0.02666667,0.003333333,-28.5,-5.25,-27.6875,47.875,-1.4375,358.9375,1.47274,0,1.568616
313,-0.2,0.04,0.0,0.005555556,0.05444445,-0.01111111,-28.5,-5.25,-27.6875,47.8125,-1.4375,358.9375,1.474189,0,1.355627
324,-0.16,-0.03,0.11,-0.001111111,0.01777778,0.0,-27.75,-5.375,-28.0625,47.8125,-1.4375,358.9375,1.466959,0,1.676025
335,-0.21,0.01,-0.14,-0.002222222,-0.02111111,-0.001111111,-27.75,-5.375,-28.0625,47.8125,-1.4375,358.9375,1.458334,0,1.676025
352,-0.1,-0.07,-0.26,0.0,-0.005555556,-0.001111111,-27.75,-5.375,-28.0625,47.8125,-1.4375,358.9375,1.432783,0,2.001904
363,-0.15,-0.01,0.09,0.007777778,0.05444445,-0.02222222,-27.75,-5.375,-28.0625,47.8125,-1.4375,358.9375,1.425771,0,2.445093
374,-0.23,0.01,0.09,0.002222222,0.03,-0.03,-28.875,-5.0,-27.6875,47.75,-1.4375,359.0,1.417405,0,2.111735
385,-0.17,-0.05,-0.07,0.01,-0.006666667,-0.007777778,-28.875,-5.0,-27.6875,47.75,-1.4375,359.0,1.409091,0,2.111735
396,-0.21,-0.04,-0.25,0.0,0.01,-0.02666667,-28.875,-5.0,-27.6875,47.75,-1.4375,359.0,1.398086,0,2.111735
413,-0.16,0.01,-0.09,0.004444445,0.02555555,-0.02555555,-28.875,-5.0,-27.6875,47.75,-1.5,359.0,1.377695,0,2.222217
424,-0.17,-0.02,0.0,-0.005555556,0.01444444,-0.01333333,-27.6875,-5.75,-27.375,47.75,-1.5,359.0,1.370968,0,2.445093
435,-0.17,-0.07,-0.01,0.0,0.001111111,-0.02111111,-27.6875,-5.75,-27.375,47.75,-1.5,359.0,1.352313,0,1.676025
452,-0.18,0.0,-0.17,0.008888889,0.003333333,-0.02111111,-27.6875,-5.75,-27.375,47.75,-1.5,359.0625,1.350991,0,2.001904
467,-0.24,0.06,-0.09,0.004444445,0.01,-0.007777778,-27.6875,-5.75,-27.375,47.75,-1.5625,359.0625,1.357616,0,2.111735
